MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"36,313","+/-1,372",(X),(X),"43,676","+/-3,267",(X),(X),"27,620","+/-3,086",(X),(X)
Less than high school graduate,"20,872","+/-7,752",(X),(X),"30,450","+/-9,934",(X),(X),"9,577","+/-1,976",(X),(X)
High school graduate (includes equivalency),"32,137","+/-3,225",(X),(X),"40,856","+/-4,649",(X),(X),"21,761","+/-1,880",(X),(X)
Some college or associate's degree,"35,880","+/-4,247",(X),(X),"44,146","+/-5,657",(X),(X),"29,441","+/-4,155",(X),(X)
Bachelor's degree,"46,678","+/-6,686",(X),(X),"51,543","+/-9,136",(X),(X),"41,204","+/-8,721",(X),(X)
Graduate or professional degree,"62,536","+/-5,675",(X),(X),"69,375","+/-28,177",(X),(X),"51,591","+/-20,466",(X),(X)
