MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"35,146","+/-2,141",(X),(X),"42,176","+/-3,059",(X),(X),"25,664","+/-2,660",(X),(X)
Less than high school graduate,"18,611","+/-11,974",(X),(X),"30,850","+/-12,715",(X),(X),"9,087","+/-1,357",(X),(X)
High school graduate (includes equivalency),"31,033","+/-1,891",(X),(X),"37,402","+/-5,062",(X),(X),"20,500","+/-2,361",(X),(X)
Some college or associate's degree,"35,325","+/-4,179",(X),(X),"44,760","+/-4,726",(X),(X),"26,852","+/-3,428",(X),(X)
Bachelor's degree,"45,867","+/-8,922",(X),(X),"51,987","+/-9,992",(X),(X),"39,489","+/-7,215",(X),(X)
Graduate or professional degree,"60,213","+/-8,542",(X),(X),"62,500","+/-9,009",(X),(X),"50,345","+/-11,716",(X),(X)
