MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"32,120",+/-862,(X),(X),"38,765","+/-3,202",(X),(X),"26,566","+/-1,378",(X),(X)
Less than high school graduate,"22,830","+/-5,068",(X),(X),"23,810","+/-1,597",(X),(X),"16,029","+/-5,279",(X),(X)
High school graduate (includes equivalency),"29,483","+/-1,854",(X),(X),"35,979","+/-4,214",(X),(X),"19,221","+/-3,655",(X),(X)
Some college or associate's degree,"31,850","+/-1,177",(X),(X),"41,356","+/-2,681",(X),(X),"26,325","+/-1,773",(X),(X)
Bachelor's degree,"41,625","+/-4,725",(X),(X),"43,289","+/-7,119",(X),(X),"40,284","+/-5,766",(X),(X)
Graduate or professional degree,"58,125","+/-8,450",(X),(X),"65,086","+/-13,944",(X),(X),"48,750","+/-20,473",(X),(X)
