MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"37,161","+/-1,132",(X),(X),"46,944","+/-2,392",(X),(X),"28,935","+/-1,886",(X),(X)
Less than high school graduate,"21,234","+/-1,164",(X),(X),"22,058","+/-5,264",(X),(X),"20,903",+/-694,(X),(X)
High school graduate (includes equivalency),"30,286","+/-3,108",(X),(X),"36,166","+/-2,874",(X),(X),"21,826","+/-1,616",(X),(X)
Some college or associate's degree,"34,691","+/-2,088",(X),(X),"43,496","+/-5,770",(X),(X),"29,186","+/-2,440",(X),(X)
Bachelor's degree,"50,966","+/-1,871",(X),(X),"66,651","+/-4,457",(X),(X),"37,083","+/-3,653",(X),(X)
Graduate or professional degree,"79,690","+/-5,716",(X),(X),"91,144","+/-3,865",(X),(X),"56,162","+/-9,359",(X),(X)
