MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"36,754","+/-1,043",(X),(X),"45,351","+/-1,739",(X),(X),"27,277","+/-1,497",(X),(X)
Less than high school graduate,"20,313","+/-2,683",(X),(X),"21,024","+/-3,751",(X),(X),"19,851","+/-4,828",(X),(X)
High school graduate (includes equivalency),"29,932","+/-3,029",(X),(X),"38,006","+/-2,475",(X),(X),"21,192","+/-1,174",(X),(X)
Some college or associate's degree,"32,594","+/-2,220",(X),(X),"40,211","+/-2,949",(X),(X),"27,413","+/-1,939",(X),(X)
Bachelor's degree,"49,630","+/-2,692",(X),(X),"62,757","+/-3,948",(X),(X),"36,825","+/-2,765",(X),(X)
Graduate or professional degree,"75,919","+/-4,436",(X),(X),"85,191","+/-5,656",(X),(X),"59,936","+/-6,892",(X),(X)
