MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"32,465","+/-1,496",(X),(X),"37,863","+/-2,831",(X),(X),"25,688","+/-1,642",(X),(X)
Less than high school graduate,"21,518","+/-4,942",(X),(X),"28,063","+/-5,779",(X),(X),"15,083","+/-3,662",(X),(X)
High school graduate (includes equivalency),"29,042","+/-4,018",(X),(X),"35,905","+/-1,911",(X),(X),"21,972","+/-1,523",(X),(X)
Some college or associate's degree,"33,742","+/-2,840",(X),(X),"41,089","+/-4,789",(X),(X),"26,778","+/-5,696",(X),(X)
Bachelor's degree,"42,095","+/-3,375",(X),(X),"52,726","+/-3,437",(X),(X),"39,635","+/-4,884",(X),(X)
Graduate or professional degree,"56,615","+/-15,363",(X),(X),"89,609","+/-47,986",(X),(X),"50,278","+/-22,130",(X),(X)
