MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"36,958",+/-999,(X),(X),"45,534","+/-2,183",(X),(X),"28,697","+/-1,651",(X),(X)
Less than high school graduate,"21,939","+/-1,878",(X),(X),"27,763","+/-4,997",(X),(X),"17,838","+/-4,188",(X),(X)
High school graduate (includes equivalency),"33,986","+/-2,051",(X),(X),"41,542","+/-1,495",(X),(X),"25,234","+/-1,871",(X),(X)
Some college or associate's degree,"37,817","+/-3,542",(X),(X),"51,206","+/-2,455",(X),(X),"28,207","+/-2,880",(X),(X)
Bachelor's degree,"50,047","+/-4,174",(X),(X),"61,783","+/-4,967",(X),(X),"40,352","+/-6,248",(X),(X)
Graduate or professional degree,"67,047","+/-7,371",(X),(X),"70,417","+/-10,692",(X),(X),"61,154","+/-14,940",(X),(X)
