MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"43,721","+/-1,266",(X),(X),"52,629","+/-1,593",(X),(X),"34,836","+/-1,477",(X),(X)
Less than high school graduate,"22,434","+/-4,301",(X),(X),"28,395","+/-6,173",(X),(X),"17,957","+/-7,818",(X),(X)
High school graduate (includes equivalency),"32,479","+/-3,023",(X),(X),"42,247","+/-2,443",(X),(X),"25,007","+/-2,287",(X),(X)
Some college or associate's degree,"40,414","+/-1,781",(X),(X),"49,610","+/-2,932",(X),(X),"31,765","+/-1,422",(X),(X)
Bachelor's degree,"54,288","+/-3,128",(X),(X),"69,896","+/-4,858",(X),(X),"42,524","+/-2,492",(X),(X)
Graduate or professional degree,"68,340","+/-4,444",(X),(X),"77,450","+/-5,693",(X),(X),"59,908","+/-4,010",(X),(X)
