MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"45,078","+/-1,264",(X),(X),"53,707","+/-1,896",(X),(X),"35,540","+/-1,151",(X),(X)
Less than high school graduate,"26,219","+/-2,503",(X),(X),"32,964","+/-8,496",(X),(X),"20,677","+/-4,714",(X),(X)
High school graduate (includes equivalency),"35,187","+/-1,888",(X),(X),"42,891","+/-1,927",(X),(X),"25,572","+/-2,102",(X),(X)
Some college or associate's degree,"41,167","+/-1,478",(X),(X),"51,444","+/-1,997",(X),(X),"32,057","+/-1,354",(X),(X)
Bachelor's degree,"53,438","+/-2,928",(X),(X),"66,296","+/-4,267",(X),(X),"43,999","+/-2,648",(X),(X)
Graduate or professional degree,"66,528","+/-5,193",(X),(X),"85,088","+/-10,758",(X),(X),"58,106","+/-4,648",(X),(X)
