MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"31,703","+/-2,588",(X),(X),"41,940","+/-2,976",(X),(X),"23,029","+/-2,875",(X),(X)
Less than high school graduate,"30,410","+/-5,391",(X),(X),"31,783","+/-4,995",(X),(X),"18,250","+/-11,482",(X),(X)
High school graduate (includes equivalency),"29,533","+/-3,381",(X),(X),"41,398","+/-1,918",(X),(X),"19,563","+/-2,756",(X),(X)
Some college or associate's degree,"31,029","+/-4,002",(X),(X),"49,891","+/-9,783",(X),(X),"25,432","+/-2,749",(X),(X)
Bachelor's degree,"36,765","+/-19,805",(X),(X),"81,136","+/-16,250",(X),(X),"32,576","+/-10,712",(X),(X)
Graduate or professional degree,"55,966","+/-12,264",(X),(X),"55,188","+/-27,967",(X),(X),"56,615","+/-8,704",(X),(X)
