MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"37,913",+/-128,(X),(X),"44,529",+/-170,(X),(X),"31,790",+/-44,(X),(X)
Less than high school graduate,"21,738",+/-37,(X),(X),"25,707",+/-52,(X),(X),"16,431",+/-46,(X),(X)
High school graduate (includes equivalency),"29,815",+/-49,(X),(X),"35,294",+/-52,(X),(X),"23,366",+/-51,(X),(X)
Some college or associate's degree,"35,394",+/-40,(X),(X),"42,464",+/-57,(X),(X),"29,652",+/-53,(X),(X)
Bachelor's degree,"52,019",+/-45,(X),(X),"63,911",+/-121,(X),(X),"43,390",+/-87,(X),(X)
Graduate or professional degree,"69,903",+/-103,(X),(X),"87,504",+/-203,(X),(X),"58,868",+/-120,(X),(X)
