MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"36,810",+/-71,(X),(X),"42,650",+/-190,(X),(X),"31,001",+/-39,(X),(X)
Less than high school graduate,"20,924",+/-38,(X),(X),"24,644",+/-78,(X),(X),"15,831",+/-46,(X),(X)
High school graduate (includes equivalency),"28,672",+/-51,(X),(X),"34,010",+/-102,(X),(X),"22,571",+/-48,(X),(X)
Some college or associate's degree,"34,412",+/-61,(X),(X),"41,731",+/-56,(X),(X),"28,692",+/-54,(X),(X)
Bachelor's degree,"51,094",+/-46,(X),(X),"62,242",+/-83,(X),(X),"42,154",+/-49,(X),(X)
Graduate or professional degree,"67,832",+/-126,(X),(X),"85,127",+/-187,(X),(X),"56,859",+/-94,(X),(X)
