MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"32,453","+/-1,157",(X),(X),"39,063","+/-1,746",(X),(X),"26,765","+/-1,647",(X),(X)
Less than high school graduate,"16,605","+/-2,242",(X),(X),"21,914","+/-7,747",(X),(X),"13,951","+/-2,111",(X),(X)
High school graduate (includes equivalency),"26,962","+/-1,753",(X),(X),"32,909","+/-2,650",(X),(X),"20,967",+/-845,(X),(X)
Some college or associate's degree,"31,183","+/-1,116",(X),(X),"39,163","+/-2,588",(X),(X),"25,625","+/-2,107",(X),(X)
Bachelor's degree,"41,964","+/-1,750",(X),(X),"46,436","+/-3,555",(X),(X),"36,393","+/-2,090",(X),(X)
Graduate or professional degree,"52,007","+/-3,640",(X),(X),"58,472","+/-4,566",(X),(X),"46,461","+/-2,267",(X),(X)
