MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"32,345","+/-2,517",(X),(X),"40,597","+/-2,031",(X),(X),"22,766","+/-2,959",(X),(X)
Less than high school graduate,"14,741","+/-5,551",(X),(X),"16,481","+/-11,829",(X),(X),"13,333","+/-3,260",(X),(X)
High school graduate (includes equivalency),"31,175","+/-2,156",(X),(X),"37,382","+/-4,406",(X),(X),"19,178","+/-3,660",(X),(X)
Some college or associate's degree,"32,882","+/-4,647",(X),(X),"47,195","+/-9,057",(X),(X),"22,830","+/-4,071",(X),(X)
Bachelor's degree,"48,897","+/-8,831",(X),(X),"70,455","+/-14,337",(X),(X),"40,854","+/-4,559",(X),(X)
Graduate or professional degree,"51,849","+/-9,807",(X),(X),"50,833","+/-21,207",(X),(X),"51,994","+/-8,789",(X),(X)
