MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"31,270","+/-2,023",(X),(X),"41,645","+/-2,141",(X),(X),"21,627","+/-2,640",(X),(X)
Less than high school graduate,"10,375","+/-7,510",(X),(X),"9,522","+/-4,677",(X),(X),"15,685","+/-3,088",(X),(X)
High school graduate (includes equivalency),"30,578","+/-5,508",(X),(X),"41,323","+/-2,612",(X),(X),"16,287","+/-2,062",(X),(X)
Some college or associate's degree,"31,179","+/-2,303",(X),(X),"45,742","+/-8,380",(X),(X),"24,635","+/-4,346",(X),(X)
Bachelor's degree,"43,031","+/-6,051",(X),(X),"65,741","+/-10,147",(X),(X),"31,358","+/-8,450",(X),(X)
Graduate or professional degree,"51,815","+/-9,820",(X),(X),"47,417","+/-8,722",(X),(X),"57,955","+/-9,313",(X),(X)
