MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"35,835",+/-606,(X),(X),"41,076",+/-654,(X),(X),"31,056",+/-918,(X),(X)
Less than high school graduate,"22,078","+/-3,449",(X),(X),"27,000","+/-2,229",(X),(X),"16,266","+/-1,659",(X),(X)
High school graduate (includes equivalency),"31,337",+/-955,(X),(X),"35,405","+/-1,518",(X),(X),"26,357","+/-1,656",(X),(X)
Some college or associate's degree,"35,941","+/-1,002",(X),(X),"42,534","+/-2,372",(X),(X),"31,194","+/-1,238",(X),(X)
Bachelor's degree,"46,756","+/-2,190",(X),(X),"52,528","+/-3,823",(X),(X),"41,830","+/-2,534",(X),(X)
Graduate or professional degree,"56,431","+/-2,420",(X),(X),"64,188","+/-6,713",(X),(X),"50,848","+/-8,274",(X),(X)
