MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"35,725",+/-681,(X),(X),"40,940",+/-936,(X),(X),"31,052",+/-840,(X),(X)
Less than high school graduate,"22,186","+/-3,354",(X),(X),"26,885","+/-2,087",(X),(X),"17,054","+/-2,081",(X),(X)
High school graduate (includes equivalency),"30,801","+/-1,160",(X),(X),"35,704","+/-1,564",(X),(X),"25,540","+/-1,518",(X),(X)
Some college or associate's degree,"36,048","+/-1,097",(X),(X),"42,207","+/-2,143",(X),(X),"31,445","+/-1,041",(X),(X)
Bachelor's degree,"45,724","+/-1,820",(X),(X),"51,740","+/-2,388",(X),(X),"41,279","+/-2,012",(X),(X)
Graduate or professional degree,"58,714","+/-3,323",(X),(X),"67,986","+/-6,433",(X),(X),"52,596","+/-5,421",(X),(X)
