MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"30,212",+/-842,(X),(X),"35,974","+/-2,438",(X),(X),"22,281","+/-1,502",(X),(X)
Less than high school graduate,"19,031","+/-4,079",(X),(X),"23,026","+/-6,204",(X),(X),"10,274","+/-4,178",(X),(X)
High school graduate (includes equivalency),"28,172","+/-2,990",(X),(X),"33,795","+/-4,160",(X),(X),"20,738","+/-2,539",(X),(X)
Some college or associate's degree,"30,976","+/-1,277",(X),(X),"41,759","+/-2,123",(X),(X),"21,771","+/-1,098",(X),(X)
Bachelor's degree,"42,202","+/-7,315",(X),(X),"51,753","+/-5,658",(X),(X),"38,778","+/-3,623",(X),(X)
Graduate or professional degree,"47,500","+/-7,455",(X),(X),"51,719","+/-19,746",(X),(X),"46,125","+/-7,189",(X),(X)
