MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"30,695",+/-949,(X),(X),"38,543","+/-2,952",(X),(X),"22,811","+/-1,910",(X),(X)
Less than high school graduate,"20,451","+/-5,213",(X),(X),"27,450","+/-3,621",(X),(X),"11,205","+/-1,192",(X),(X)
High school graduate (includes equivalency),"30,231","+/-1,781",(X),(X),"37,409","+/-3,254",(X),(X),"20,434","+/-2,144",(X),(X)
Some college or associate's degree,"30,374","+/-1,382",(X),(X),"41,733","+/-2,497",(X),(X),"22,178","+/-1,862",(X),(X)
Bachelor's degree,"42,179","+/-4,520",(X),(X),"51,397","+/-4,423",(X),(X),"39,595","+/-4,276",(X),(X)
Graduate or professional degree,"50,761","+/-3,328",(X),(X),"60,139","+/-13,356",(X),(X),"46,067","+/-3,981",(X),(X)
