MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"29,668","+/-1,563",(X),(X),"34,814","+/-2,877",(X),(X),"24,889","+/-1,606",(X),(X)
Less than high school graduate,"20,898","+/-3,775",(X),(X),"23,182","+/-4,765",(X),(X),"14,018","+/-6,784",(X),(X)
High school graduate (includes equivalency),"28,291","+/-1,907",(X),(X),"33,220","+/-4,258",(X),(X),"23,204","+/-2,606",(X),(X)
Some college or associate's degree,"30,742","+/-1,896",(X),(X),"35,947","+/-5,238",(X),(X),"24,966","+/-4,007",(X),(X)
Bachelor's degree,"40,727","+/-4,680",(X),(X),"57,543","+/-10,655",(X),(X),"31,250","+/-3,771",(X),(X)
Graduate or professional degree,"52,583","+/-13,150",(X),(X),"48,466","+/-32,962",(X),(X),"60,682","+/-19,265",(X),(X)
