MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"29,151","+/-1,701",(X),(X),"33,956","+/-2,765",(X),(X),"24,694","+/-1,355",(X),(X)
Less than high school graduate,"20,984","+/-4,995",(X),(X),"25,655","+/-6,508",(X),(X),"14,138","+/-4,850",(X),(X)
High school graduate (includes equivalency),"27,404","+/-1,630",(X),(X),"32,517","+/-3,893",(X),(X),"21,556","+/-2,728",(X),(X)
Some college or associate's degree,"30,941","+/-1,617",(X),(X),"35,657","+/-3,188",(X),(X),"25,755","+/-2,567",(X),(X)
Bachelor's degree,"35,139","+/-5,885",(X),(X),"42,200","+/-9,889",(X),(X),"32,131","+/-2,575",(X),(X)
Graduate or professional degree,"48,250","+/-12,533",(X),(X),-,**,(X),(X),"53,906","+/-14,626",(X),(X)
