MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"30,153","+/-1,476",(X),(X),"35,494","+/-2,931",(X),(X),"25,897","+/-1,825",(X),(X)
Less than high school graduate,"27,368","+/-2,329",(X),(X),"28,935","+/-5,014",(X),(X),"26,627",+/-931,(X),(X)
High school graduate (includes equivalency),"26,860","+/-2,219",(X),(X),"31,563","+/-3,088",(X),(X),"21,944","+/-4,447",(X),(X)
Some college or associate's degree,"30,825","+/-2,969",(X),(X),"40,045","+/-4,733",(X),(X),"24,621","+/-6,309",(X),(X)
Bachelor's degree,"35,197","+/-5,931",(X),(X),"40,357","+/-13,233",(X),(X),"33,438","+/-6,462",(X),(X)
Graduate or professional degree,"54,423","+/-9,069",(X),(X),"54,808","+/-7,674",(X),(X),"43,750","+/-41,601",(X),(X)
