MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"36,880","+/-1,902",(X),(X),"45,709","+/-2,940",(X),(X),"27,992","+/-3,186",(X),(X)
Less than high school graduate,"21,169","+/-7,725",(X),(X),"29,303","+/-5,864",(X),(X),"10,375","+/-5,872",(X),(X)
High school graduate (includes equivalency),"32,044","+/-2,035",(X),(X),"40,313","+/-4,760",(X),(X),"23,546","+/-2,303",(X),(X)
Some college or associate's degree,"36,735","+/-3,259",(X),(X),"44,697","+/-6,141",(X),(X),"28,414","+/-6,012",(X),(X)
Bachelor's degree,"52,137","+/-4,830",(X),(X),"62,500","+/-8,483",(X),(X),"42,449","+/-7,583",(X),(X)
Graduate or professional degree,"54,757","+/-8,341",(X),(X),"64,954","+/-14,336",(X),(X),"49,762","+/-9,970",(X),(X)
