MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"30,760","+/-1,256",(X),(X),"37,525","+/-2,714",(X),(X),"25,718","+/-1,461",(X),(X)
Less than high school graduate,"19,858","+/-2,755",(X),(X),"21,912","+/-7,222",(X),(X),"11,605","+/-3,800",(X),(X)
High school graduate (includes equivalency),"27,843","+/-2,516",(X),(X),"32,363","+/-5,703",(X),(X),"21,054","+/-2,818",(X),(X)
Some college or associate's degree,"30,657","+/-1,711",(X),(X),"38,344","+/-4,032",(X),(X),"26,113","+/-2,198",(X),(X)
Bachelor's degree,"50,250","+/-5,370",(X),(X),"64,046","+/-9,691",(X),(X),"38,932","+/-6,527",(X),(X)
Graduate or professional degree,"52,514","+/-6,108",(X),(X),"54,286","+/-10,582",(X),(X),"47,019","+/-13,253",(X),(X)
