MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"29,752","+/-2,387",(X),(X),"36,512","+/-5,444",(X),(X),"24,544","+/-3,760",(X),(X)
Less than high school graduate,"27,750","+/-10,640",(X),(X),"30,888","+/-1,961",(X),(X),"15,739","+/-4,507",(X),(X)
High school graduate (includes equivalency),"24,770","+/-2,975",(X),(X),"31,532","+/-8,436",(X),(X),"19,958","+/-5,471",(X),(X)
Some college or associate's degree,"30,076","+/-6,037",(X),(X),"41,477","+/-7,639",(X),(X),"23,750","+/-4,532",(X),(X)
Bachelor's degree,"35,000","+/-3,572",(X),(X),"35,833","+/-14,875",(X),(X),"34,375","+/-8,045",(X),(X)
Graduate or professional degree,"67,109","+/-12,624",(X),(X),"68,750","+/-15,909",(X),(X),"53,036","+/-29,506",(X),(X)
