MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"30,992",+/-848,(X),(X),"37,029","+/-2,491",(X),(X),"24,375","+/-2,252",(X),(X)
Less than high school graduate,"18,636","+/-8,869",(X),(X),"18,500","+/-8,389",(X),(X),"21,250","+/-17,079",(X),(X)
High school graduate (includes equivalency),"30,902","+/-1,383",(X),(X),"39,405","+/-3,180",(X),(X),"19,459","+/-2,947",(X),(X)
Some college or associate's degree,"28,060","+/-3,728",(X),(X),"33,472","+/-3,800",(X),(X),"22,470","+/-2,468",(X),(X)
Bachelor's degree,"44,815","+/-3,959",(X),(X),"56,000","+/-10,980",(X),(X),"40,625","+/-6,331",(X),(X)
Graduate or professional degree,"47,917","+/-6,714",(X),(X),"48,438","+/-16,058",(X),(X),"47,171","+/-10,405",(X),(X)
