MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"31,491","+/-1,255",(X),(X),"38,542","+/-3,658",(X),(X),"23,954","+/-1,629",(X),(X)
Less than high school graduate,"23,529","+/-9,364",(X),(X),"25,766","+/-7,600",(X),(X),-,**,(X),(X)
High school graduate (includes equivalency),"31,386","+/-2,628",(X),(X),"39,900","+/-2,457",(X),(X),"17,056","+/-3,158",(X),(X)
Some college or associate's degree,"29,415","+/-3,630",(X),(X),"37,313","+/-8,835",(X),(X),"23,817","+/-2,442",(X),(X)
Bachelor's degree,"43,750","+/-5,425",(X),(X),"53,500","+/-11,513",(X),(X),"39,063","+/-8,626",(X),(X)
Graduate or professional degree,"48,352","+/-7,477",(X),(X),"49,375","+/-10,639",(X),(X),"47,500","+/-15,495",(X),(X)
