MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"36,741","+/-1,369",(X),(X),"45,542","+/-3,323",(X),(X),"27,311","+/-1,957",(X),(X)
Less than high school graduate,"19,853","+/-6,765",(X),(X),"25,639","+/-6,896",(X),(X),"13,750","+/-4,579",(X),(X)
High school graduate (includes equivalency),"33,364","+/-2,248",(X),(X),"41,947","+/-2,434",(X),(X),"22,357","+/-2,659",(X),(X)
Some college or associate's degree,"36,851","+/-1,606",(X),(X),"44,795","+/-3,068",(X),(X),"28,581","+/-3,030",(X),(X)
Bachelor's degree,"44,635","+/-6,935",(X),(X),"65,597","+/-9,365",(X),(X),"33,670","+/-9,680",(X),(X)
Graduate or professional degree,"58,686","+/-9,836",(X),(X),"65,341","+/-20,100",(X),(X),"54,214","+/-7,269",(X),(X)
