MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"29,943","+/-1,080",(X),(X),"34,455","+/-1,821",(X),(X),"24,671","+/-1,155",(X),(X)
Less than high school graduate,"19,066","+/-4,497",(X),(X),"23,368","+/-2,631",(X),(X),"14,147","+/-3,241",(X),(X)
High school graduate (includes equivalency),"25,535","+/-1,397",(X),(X),"31,239","+/-1,588",(X),(X),"19,073","+/-1,494",(X),(X)
Some college or associate's degree,"28,743","+/-2,416",(X),(X),"35,072","+/-2,581",(X),(X),"23,348","+/-1,528",(X),(X)
Bachelor's degree,"40,850","+/-2,068",(X),(X),"53,397","+/-8,968",(X),(X),"34,991","+/-3,325",(X),(X)
Graduate or professional degree,"50,078","+/-4,432",(X),(X),"52,321","+/-8,911",(X),(X),"46,894","+/-4,606",(X),(X)
