MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"31,614","+/-1,126",(X),(X),"38,118","+/-2,791",(X),(X),"26,199","+/-2,006",(X),(X)
Less than high school graduate,"23,350","+/-3,000",(X),(X),"25,083","+/-5,315",(X),(X),"20,833","+/-7,186",(X),(X)
High school graduate (includes equivalency),"28,045","+/-2,609",(X),(X),"35,070","+/-4,770",(X),(X),"21,158","+/-1,499",(X),(X)
Some college or associate's degree,"31,725","+/-2,197",(X),(X),"40,697","+/-7,995",(X),(X),"25,978","+/-3,730",(X),(X)
Bachelor's degree,"42,017","+/-3,581",(X),(X),"50,964","+/-14,933",(X),(X),"34,160","+/-4,983",(X),(X)
Graduate or professional degree,"60,373","+/-3,930",(X),(X),"65,000","+/-22,437",(X),(X),"58,794","+/-6,529",(X),(X)
