MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"31,644",+/-823,(X),(X),"40,393","+/-1,410",(X),(X),"23,458","+/-2,205",(X),(X)
Less than high school graduate,"16,480","+/-3,358",(X),(X),"26,155","+/-4,474",(X),(X),"14,309","+/-2,532",(X),(X)
High school graduate (includes equivalency),"28,455","+/-2,079",(X),(X),"34,653","+/-3,148",(X),(X),"20,934","+/-1,742",(X),(X)
Some college or associate's degree,"32,194","+/-2,115",(X),(X),"42,144","+/-1,861",(X),(X),"23,430","+/-3,464",(X),(X)
Bachelor's degree,"43,649","+/-5,152",(X),(X),"58,386","+/-5,235",(X),(X),"34,005","+/-3,713",(X),(X)
Graduate or professional degree,"48,828","+/-6,468",(X),(X),"58,750","+/-8,936",(X),(X),"42,736","+/-2,697",(X),(X)
