MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"33,480","+/-1,310",(X),(X),"40,922","+/-1,302",(X),(X),"26,051","+/-1,168",(X),(X)
Less than high school graduate,"20,702","+/-6,375",(X),(X),"35,092","+/-5,555",(X),(X),"14,146","+/-2,621",(X),(X)
High school graduate (includes equivalency),"30,171","+/-1,360",(X),(X),"36,221","+/-2,036",(X),(X),"22,398","+/-1,847",(X),(X)
Some college or associate's degree,"34,459","+/-1,816",(X),(X),"41,969","+/-2,404",(X),(X),"27,922","+/-2,312",(X),(X)
Bachelor's degree,"42,329","+/-3,010",(X),(X),"58,065","+/-5,524",(X),(X),"34,137","+/-3,244",(X),(X)
Graduate or professional degree,"53,788","+/-6,624",(X),(X),"63,382","+/-6,199",(X),(X),"44,511","+/-7,839",(X),(X)
