MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"30,961",+/-995,(X),(X),"40,089","+/-2,169",(X),(X),"25,317","+/-1,215",(X),(X)
Less than high school graduate,"24,490","+/-2,109",(X),(X),"26,094","+/-10,022",(X),(X),"20,197","+/-9,976",(X),(X)
High school graduate (includes equivalency),"30,149","+/-1,477",(X),(X),"40,254","+/-3,868",(X),(X),"22,415","+/-2,308",(X),(X)
Some college or associate's degree,"30,368","+/-3,316",(X),(X),"40,248","+/-3,028",(X),(X),"24,271","+/-2,929",(X),(X)
Bachelor's degree,"43,964","+/-7,091",(X),(X),"56,458","+/-14,182",(X),(X),"38,674","+/-8,249",(X),(X)
Graduate or professional degree,"42,029","+/-7,317",(X),(X),"60,463","+/-25,174",(X),(X),"41,175","+/-4,465",(X),(X)
