MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"33,991","+/-1,470",(X),(X),"42,808","+/-2,412",(X),(X),"25,778","+/-1,141",(X),(X)
Less than high school graduate,"18,186","+/-4,219",(X),(X),"28,523","+/-6,760",(X),(X),"13,571","+/-3,817",(X),(X)
High school graduate (includes equivalency),"30,177","+/-1,948",(X),(X),"37,667","+/-2,396",(X),(X),"22,103","+/-2,300",(X),(X)
Some college or associate's degree,"36,627","+/-1,481",(X),(X),"46,169","+/-3,852",(X),(X),"26,557","+/-3,130",(X),(X)
Bachelor's degree,"47,730","+/-13,281",(X),(X),"64,229","+/-6,831",(X),(X),"32,368","+/-3,243",(X),(X)
Graduate or professional degree,"52,673","+/-6,201",(X),(X),"45,417","+/-19,460",(X),(X),"53,278","+/-5,856",(X),(X)
