MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"35,755",+/-444,(X),(X),"44,978","+/-1,489",(X),(X),"28,751",+/-850,(X),(X)
Less than high school graduate,"21,483",+/-962,(X),(X),"27,167","+/-1,819",(X),(X),"15,354","+/-1,341",(X),(X)
High school graduate (includes equivalency),"31,062",+/-541,(X),(X),"40,590","+/-1,078",(X),(X),"21,742",+/-939,(X),(X)
Some college or associate's degree,"33,431","+/-1,262",(X),(X),"46,025","+/-3,064",(X),(X),"27,336",+/-841,(X),(X)
Bachelor's degree,"47,078","+/-1,661",(X),(X),"62,469","+/-2,262",(X),(X),"38,926","+/-1,850",(X),(X)
Graduate or professional degree,"59,356","+/-2,069",(X),(X),"73,740","+/-5,545",(X),(X),"52,153","+/-1,561",(X),(X)
