MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"35,747","+/-1,998",(X),(X),"47,747","+/-3,223",(X),(X),"24,286","+/-2,591",(X),(X)
Less than high school graduate,"20,785","+/-2,065",(X),(X),"25,225","+/-7,829",(X),(X),"12,835","+/-2,944",(X),(X)
High school graduate (includes equivalency),"32,648","+/-2,124",(X),(X),"46,552","+/-4,201",(X),(X),"21,238","+/-1,832",(X),(X)
Some college or associate's degree,"36,130","+/-3,170",(X),(X),"50,750","+/-3,623",(X),(X),"23,028","+/-2,955",(X),(X)
Bachelor's degree,"45,356","+/-4,547",(X),(X),"56,033","+/-9,917",(X),(X),"35,647","+/-6,554",(X),(X)
Graduate or professional degree,"55,781","+/-6,397",(X),(X),"70,466","+/-20,985",(X),(X),"52,292","+/-5,819",(X),(X)
