MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"22,309","+/-2,443",(X),(X),"25,989","+/-2,039",(X),(X),"19,470","+/-2,509",(X),(X)
Less than high school graduate,"17,681","+/-2,426",(X),(X),"20,703","+/-10,586",(X),(X),"16,553","+/-2,013",(X),(X)
High school graduate (includes equivalency),"19,886","+/-2,075",(X),(X),"22,899","+/-2,360",(X),(X),"14,835","+/-2,836",(X),(X)
Some college or associate's degree,"22,173","+/-4,994",(X),(X),"27,756","+/-3,003",(X),(X),"19,500","+/-4,479",(X),(X)
Bachelor's degree,"38,056","+/-4,744",(X),(X),"40,931","+/-2,398",(X),(X),"34,728","+/-4,647",(X),(X)
Graduate or professional degree,"51,204","+/-7,578",(X),(X),"71,000","+/-16,956",(X),(X),"49,792","+/-7,896",(X),(X)
