MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"30,545","+/-1,505",(X),(X),"39,983","+/-2,578",(X),(X),"24,126","+/-2,685",(X),(X)
Less than high school graduate,"15,787","+/-6,815",(X),(X),"26,607","+/-12,741",(X),(X),"6,327",+/-957,(X),(X)
High school graduate (includes equivalency),"25,902","+/-3,219",(X),(X),"31,487","+/-4,172",(X),(X),"20,114","+/-7,295",(X),(X)
Some college or associate's degree,"30,410","+/-2,137",(X),(X),"41,124","+/-2,176",(X),(X),"24,807","+/-2,236",(X),(X)
Bachelor's degree,"45,833","+/-13,921",(X),(X),"63,125","+/-12,893",(X),(X),"34,493","+/-6,915",(X),(X)
Graduate or professional degree,"52,202","+/-4,158",(X),(X),"56,932","+/-15,205",(X),(X),"41,932","+/-8,287",(X),(X)
