MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"31,122","+/-1,190",(X),(X),"40,936","+/-1,876",(X),(X),"24,963","+/-2,449",(X),(X)
Less than high school graduate,"16,190","+/-9,067",(X),(X),"27,011","+/-10,241",(X),(X),"6,576","+/-1,734",(X),(X)
High school graduate (includes equivalency),"28,056","+/-2,002",(X),(X),"32,750","+/-8,591",(X),(X),"20,942","+/-5,038",(X),(X)
Some college or associate's degree,"31,270","+/-1,459",(X),(X),"41,600","+/-2,100",(X),(X),"26,552","+/-2,767",(X),(X)
Bachelor's degree,"48,250","+/-14,237",(X),(X),"67,574","+/-8,966",(X),(X),"34,540","+/-3,770",(X),(X)
Graduate or professional degree,"51,985","+/-7,915",(X),(X),"62,813","+/-7,422",(X),(X),"40,333","+/-18,851",(X),(X)
