MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"41,617",+/-880,(X),(X),"60,310","+/-1,462",(X),(X),"29,377","+/-1,643",(X),(X)
Less than high school graduate,"21,014","+/-3,710",(X),(X),"31,504","+/-5,732",(X),(X),"12,460","+/-4,503",(X),(X)
High school graduate (includes equivalency),"35,730","+/-1,699",(X),(X),"54,040","+/-4,597",(X),(X),"20,557","+/-1,587",(X),(X)
Some college or associate's degree,"40,961","+/-1,425",(X),(X),"59,712","+/-5,122",(X),(X),"27,738","+/-2,604",(X),(X)
Bachelor's degree,"47,235","+/-2,973",(X),(X),"68,125","+/-5,064",(X),(X),"36,633","+/-1,681",(X),(X)
Graduate or professional degree,"63,841","+/-2,981",(X),(X),"86,458","+/-8,599",(X),(X),"51,864","+/-3,153",(X),(X)
