MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"42,422","+/-1,152",(X),(X),"61,195","+/-1,392",(X),(X),"30,039","+/-1,271",(X),(X)
Less than high school graduate,"21,707","+/-5,716",(X),(X),"31,297","+/-8,643",(X),(X),"11,848","+/-3,597",(X),(X)
High school graduate (includes equivalency),"36,493","+/-1,680",(X),(X),"55,894","+/-5,284",(X),(X),"20,112","+/-1,628",(X),(X)
Some college or associate's degree,"40,371","+/-1,716",(X),(X),"60,352","+/-3,931",(X),(X),"28,054","+/-3,018",(X),(X)
Bachelor's degree,"51,007","+/-1,865",(X),(X),"74,671","+/-3,333",(X),(X),"38,346","+/-2,636",(X),(X)
Graduate or professional degree,"63,415","+/-2,300",(X),(X),"82,138","+/-13,760",(X),(X),"51,923","+/-1,916",(X),(X)
