MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"42,629","+/-2,194",(X),(X),"50,697","+/-1,225",(X),(X),"36,554","+/-1,480",(X),(X)
Less than high school graduate,"25,044","+/-5,030",(X),(X),"31,005","+/-1,843",(X),(X),"9,855","+/-5,929",(X),(X)
High school graduate (includes equivalency),"34,680","+/-3,414",(X),(X),"42,755","+/-5,288",(X),(X),"26,127","+/-3,206",(X),(X)
Some college or associate's degree,"40,743","+/-1,660",(X),(X),"48,727","+/-3,067",(X),(X),"33,512","+/-3,639",(X),(X)
Bachelor's degree,"56,453","+/-2,732",(X),(X),"66,389","+/-6,292",(X),(X),"49,722","+/-4,832",(X),(X)
Graduate or professional degree,"60,692","+/-4,821",(X),(X),"75,423","+/-13,176",(X),(X),"53,597","+/-6,566",(X),(X)
