MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"35,645","+/-1,659",(X),(X),"43,843","+/-2,112",(X),(X),"25,550","+/-1,319",(X),(X)
Less than high school graduate,"24,826","+/-7,871",(X),(X),"29,968","+/-5,682",(X),(X),"19,375","+/-6,966",(X),(X)
High school graduate (includes equivalency),"32,472","+/-2,552",(X),(X),"41,996","+/-1,252",(X),(X),"20,737","+/-2,468",(X),(X)
Some college or associate's degree,"35,584","+/-3,692",(X),(X),"45,808","+/-5,180",(X),(X),"26,606","+/-1,289",(X),(X)
Bachelor's degree,"44,974","+/-5,960",(X),(X),"62,731","+/-12,485",(X),(X),"29,355","+/-5,217",(X),(X)
Graduate or professional degree,"55,875","+/-7,881",(X),(X),"58,000","+/-18,576",(X),(X),"55,167","+/-8,666",(X),(X)
