MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"34,707","+/-2,032",(X),(X),"43,856","+/-2,183",(X),(X),"24,022","+/-2,207",(X),(X)
Less than high school graduate,"22,813","+/-5,725",(X),(X),"29,593","+/-4,586",(X),(X),"17,500","+/-3,327",(X),(X)
High school graduate (includes equivalency),"32,255","+/-1,466",(X),(X),"41,864","+/-1,334",(X),(X),"20,830","+/-2,172",(X),(X)
Some college or associate's degree,"36,037","+/-2,994",(X),(X),"47,539","+/-3,990",(X),(X),"25,920","+/-2,133",(X),(X)
Bachelor's degree,"45,625","+/-7,810",(X),(X),"60,948","+/-9,851",(X),(X),"25,114","+/-5,099",(X),(X)
Graduate or professional degree,"51,010","+/-8,005",(X),(X),"63,086","+/-8,831",(X),(X),"49,295","+/-6,563",(X),(X)
