MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"33,158","+/-2,115",(X),(X),"41,447","+/-2,173",(X),(X),"26,137","+/-1,360",(X),(X)
Less than high school graduate,"21,607","+/-6,516",(X),(X),"32,333","+/-14,988",(X),(X),"14,375","+/-3,899",(X),(X)
High school graduate (includes equivalency),"31,536","+/-1,426",(X),(X),"37,362","+/-2,713",(X),(X),"24,215","+/-3,043",(X),(X)
Some college or associate's degree,"31,092","+/-1,820",(X),(X),"41,718","+/-2,929",(X),(X),"23,617","+/-2,937",(X),(X)
Bachelor's degree,"43,066","+/-2,227",(X),(X),"58,295","+/-12,187",(X),(X),"40,791","+/-1,167",(X),(X)
Graduate or professional degree,"51,402","+/-6,386",(X),(X),"64,327","+/-23,537",(X),(X),"50,250","+/-6,219",(X),(X)
