MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"35,991","+/-1,225",(X),(X),"41,843","+/-1,408",(X),(X),"26,999","+/-1,311",(X),(X)
Less than high school graduate,"28,333","+/-6,968",(X),(X),"37,260","+/-10,277",(X),(X),"13,229","+/-5,228",(X),(X)
High school graduate (includes equivalency),"32,358","+/-2,187",(X),(X),"38,187","+/-1,985",(X),(X),"24,112","+/-3,042",(X),(X)
Some college or associate's degree,"32,986","+/-2,742",(X),(X),"41,772","+/-1,813",(X),(X),"24,886","+/-2,175",(X),(X)
Bachelor's degree,"44,517","+/-3,489",(X),(X),"61,042","+/-5,174",(X),(X),"41,441","+/-1,689",(X),(X)
Graduate or professional degree,"52,005","+/-6,289",(X),(X),"57,465","+/-21,113",(X),(X),"48,158","+/-4,621",(X),(X)
