MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"37,569","+/-2,719",(X),(X),"45,957","+/-2,903",(X),(X),"26,500","+/-2,681",(X),(X)
Less than high school graduate,"29,000","+/-11,867",(X),(X),"41,250","+/-12,054",(X),(X),"16,964","+/-8,996",(X),(X)
High school graduate (includes equivalency),"33,649","+/-5,172",(X),(X),"42,049","+/-2,516",(X),(X),"23,075","+/-3,478",(X),(X)
Some college or associate's degree,"40,461","+/-3,852",(X),(X),"53,152","+/-5,417",(X),(X),"26,806","+/-4,898",(X),(X)
Bachelor's degree,"41,175","+/-6,379",(X),(X),"45,750","+/-12,492",(X),(X),"33,214","+/-3,596",(X),(X)
Graduate or professional degree,"52,614","+/-14,556",(X),(X),"55,357","+/-13,734",(X),(X),"46,042","+/-15,855",(X),(X)
