MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"37,487","+/-3,732",(X),(X),"47,827","+/-4,942",(X),(X),"27,897","+/-3,122",(X),(X)
Less than high school graduate,"33,750","+/-8,093",(X),(X),"44,375","+/-11,278",(X),(X),"21,458","+/-12,384",(X),(X)
High school graduate (includes equivalency),"32,841","+/-6,057",(X),(X),"42,353","+/-4,806",(X),(X),"22,875","+/-6,304",(X),(X)
Some college or associate's degree,"38,060","+/-5,682",(X),(X),"50,995","+/-3,315",(X),(X),"28,315","+/-4,713",(X),(X)
Bachelor's degree,"41,272","+/-5,031",(X),(X),"48,068","+/-16,040",(X),(X),"33,417","+/-3,399",(X),(X)
Graduate or professional degree,"55,625","+/-17,691",(X),(X),"67,750","+/-23,105",(X),(X),"44,013","+/-13,115",(X),(X)
