MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"35,584",+/-671,(X),(X),"42,383","+/-1,405",(X),(X),"28,429","+/-1,404",(X),(X)
Less than high school graduate,"23,955","+/-2,485",(X),(X),"25,423","+/-2,456",(X),(X),"19,759","+/-3,977",(X),(X)
High school graduate (includes equivalency),"29,965","+/-1,502",(X),(X),"35,666","+/-1,417",(X),(X),"23,177","+/-1,746",(X),(X)
Some college or associate's degree,"31,678",+/-997,(X),(X),"41,057","+/-1,191",(X),(X),"25,284","+/-1,385",(X),(X)
Bachelor's degree,"44,094","+/-2,679",(X),(X),"56,121","+/-3,165",(X),(X),"36,523","+/-1,385",(X),(X)
Graduate or professional degree,"59,115","+/-4,819",(X),(X),"74,385","+/-4,973",(X),(X),"48,494","+/-3,209",(X),(X)
