MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"34,312","+/-1,572",(X),(X),"41,855","+/-1,365",(X),(X),"29,178","+/-1,939",(X),(X)
Less than high school graduate,"20,603","+/-3,430",(X),(X),"28,925","+/-5,155",(X),(X),"13,750","+/-3,255",(X),(X)
High school graduate (includes equivalency),"27,694","+/-2,172",(X),(X),"34,413","+/-4,249",(X),(X),"21,674","+/-1,420",(X),(X)
Some college or associate's degree,"35,276","+/-2,186",(X),(X),"46,393","+/-4,186",(X),(X),"29,254","+/-2,130",(X),(X)
Bachelor's degree,"44,038","+/-2,425",(X),(X),"60,894","+/-7,120",(X),(X),"36,724","+/-2,118",(X),(X)
Graduate or professional degree,"59,469","+/-3,080",(X),(X),"66,157","+/-13,268",(X),(X),"55,958","+/-2,826",(X),(X)
