MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"33,103","+/-1,200",(X),(X),"41,236","+/-1,007",(X),(X),"27,817","+/-1,354",(X),(X)
Less than high school graduate,"20,404","+/-3,780",(X),(X),"26,781","+/-5,108",(X),(X),"13,079","+/-2,938",(X),(X)
High school graduate (includes equivalency),"27,724","+/-1,442",(X),(X),"34,545","+/-3,750",(X),(X),"21,770","+/-2,071",(X),(X)
Some college or associate's degree,"33,360","+/-2,285",(X),(X),"43,228","+/-1,994",(X),(X),"27,690","+/-1,594",(X),(X)
Bachelor's degree,"44,602","+/-4,217",(X),(X),"60,579","+/-6,147",(X),(X),"35,971","+/-2,454",(X),(X)
Graduate or professional degree,"56,553","+/-2,510",(X),(X),"62,164","+/-13,056",(X),(X),"54,205","+/-2,541",(X),(X)
