MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"32,249",+/-875,(X),(X),"37,953","+/-2,399",(X),(X),"27,898","+/-1,158",(X),(X)
Less than high school graduate,"16,147","+/-1,487",(X),(X),"16,548","+/-1,302",(X),(X),"14,949","+/-3,253",(X),(X)
High school graduate (includes equivalency),"28,927","+/-1,246",(X),(X),"32,679","+/-3,131",(X),(X),"25,734","+/-2,844",(X),(X)
Some college or associate's degree,"28,945","+/-1,523",(X),(X),"32,909","+/-2,940",(X),(X),"24,339","+/-2,040",(X),(X)
Bachelor's degree,"37,076","+/-2,241",(X),(X),"44,141","+/-3,727",(X),(X),"31,164","+/-1,533",(X),(X)
Graduate or professional degree,"50,612","+/-2,381",(X),(X),"61,427","+/-4,640",(X),(X),"41,133","+/-2,520",(X),(X)
