MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"31,611",+/-521,(X),(X),"36,226","+/-1,090",(X),(X),"27,882","+/-1,288",(X),(X)
Less than high school graduate,"17,302","+/-1,920",(X),(X),"18,626","+/-4,396",(X),(X),"16,064","+/-2,688",(X),(X)
High school graduate (includes equivalency),"28,069","+/-1,585",(X),(X),"31,682","+/-1,533",(X),(X),"24,888","+/-2,545",(X),(X)
Some college or associate's degree,"30,068","+/-1,393",(X),(X),"32,246","+/-1,918",(X),(X),"26,868","+/-1,785",(X),(X)
Bachelor's degree,"35,615","+/-1,903",(X),(X),"42,670","+/-2,630",(X),(X),"30,731","+/-2,416",(X),(X)
Graduate or professional degree,"48,775","+/-3,771",(X),(X),"57,604","+/-3,896",(X),(X),"40,460","+/-4,709",(X),(X)
