MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"35,069","+/-3,154",(X),(X),"43,829","+/-2,364",(X),(X),"21,486","+/-2,170",(X),(X)
Less than high school graduate,"30,875","+/-12,005",(X),(X),"36,441","+/-3,596",(X),(X),"9,157","+/-2,711",(X),(X)
High school graduate (includes equivalency),"33,030","+/-6,018",(X),(X),"43,927","+/-2,507",(X),(X),"20,177","+/-2,545",(X),(X)
Some college or associate's degree,"34,146","+/-4,258",(X),(X),"45,839","+/-4,278",(X),(X),"23,693","+/-2,251",(X),(X)
Bachelor's degree,"40,938","+/-11,113",(X),(X),"50,917","+/-15,102",(X),(X),"27,300","+/-17,182",(X),(X)
Graduate or professional degree,"41,207","+/-17,156",(X),(X),"41,853","+/-25,408",(X),(X),-,**,(X),(X)
