MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"34,800","+/-3,434",(X),(X),"42,247","+/-2,365",(X),(X),"20,944","+/-1,836",(X),(X)
Less than high school graduate,"26,961","+/-11,826",(X),(X),"35,959","+/-1,364",(X),(X),"10,750","+/-7,593",(X),(X)
High school graduate (includes equivalency),"32,386","+/-5,611",(X),(X),"42,120","+/-2,500",(X),(X),"19,456","+/-3,373",(X),(X)
Some college or associate's degree,"33,135","+/-4,892",(X),(X),"46,864","+/-7,154",(X),(X),"21,117","+/-3,244",(X),(X)
Bachelor's degree,"43,854","+/-13,943",(X),(X),"48,889","+/-16,469",(X),(X),"40,750","+/-13,424",(X),(X)
Graduate or professional degree,"40,721","+/-12,226",(X),(X),"41,250","+/-15,727",(X),(X),-,**,(X),(X)
