MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"36,046","+/-1,021",(X),(X),"44,196","+/-2,588",(X),(X),"23,809","+/-1,741",(X),(X)
Less than high school graduate,"38,235","+/-4,132",(X),(X),"45,717","+/-3,404",(X),(X),"13,287","+/-2,315",(X),(X)
High school graduate (includes equivalency),"32,178","+/-1,826",(X),(X),"36,746","+/-2,318",(X),(X),"24,545","+/-3,691",(X),(X)
Some college or associate's degree,"35,952","+/-3,094",(X),(X),"46,905","+/-7,595",(X),(X),"26,847","+/-4,862",(X),(X)
Bachelor's degree,"45,242","+/-6,092",(X),(X),"52,146","+/-10,679",(X),(X),"36,422","+/-7,857",(X),(X)
Graduate or professional degree,"52,292","+/-18,568",(X),(X),"68,403","+/-12,184",(X),(X),"27,039","+/-26,345",(X),(X)
