MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"37,337","+/-1,495",(X),(X),"46,540","+/-1,820",(X),(X),"26,771","+/-2,560",(X),(X)
Less than high school graduate,"40,996","+/-3,029",(X),(X),"50,589","+/-1,670",(X),(X),"13,900","+/-1,941",(X),(X)
High school graduate (includes equivalency),"34,754","+/-3,265",(X),(X),"40,861","+/-4,894",(X),(X),"26,500","+/-4,669",(X),(X)
Some college or associate's degree,"36,953","+/-2,513",(X),(X),"49,950","+/-8,087",(X),(X),"30,221","+/-2,997",(X),(X)
Bachelor's degree,"42,622","+/-4,864",(X),(X),"55,526","+/-12,518",(X),(X),"35,547","+/-6,902",(X),(X)
Graduate or professional degree,"60,625","+/-13,881",(X),(X),"67,083","+/-11,480",(X),(X),"53,289","+/-32,274",(X),(X)
