MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"35,417","+/-1,997",(X),(X),"40,376","+/-2,246",(X),(X),"26,362","+/-3,140",(X),(X)
Less than high school graduate,"28,024","+/-7,387",(X),(X),"30,817","+/-7,385",(X),(X),"16,500","+/-8,296",(X),(X)
High school graduate (includes equivalency),"29,890","+/-4,604",(X),(X),"36,822","+/-4,525",(X),(X),"16,686","+/-4,777",(X),(X)
Some college or associate's degree,"36,932","+/-2,049",(X),(X),"42,230","+/-7,903",(X),(X),"35,101","+/-6,416",(X),(X)
Bachelor's degree,"58,438","+/-7,584",(X),(X),"59,766","+/-26,630",(X),(X),"52,813","+/-33,349",(X),(X)
Graduate or professional degree,"51,949","+/-11,222",(X),(X),"62,500","+/-57,122",(X),(X),"50,721","+/-4,010",(X),(X)
