MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"31,414",+/-789,(X),(X),"39,670","+/-2,485",(X),(X),"24,152","+/-1,898",(X),(X)
Less than high school graduate,"25,438","+/-4,778",(X),(X),"31,686","+/-5,687",(X),(X),"18,375","+/-9,868",(X),(X)
High school graduate (includes equivalency),"30,094","+/-1,725",(X),(X),"36,489","+/-2,225",(X),(X),"20,205","+/-2,151",(X),(X)
Some college or associate's degree,"30,824","+/-1,751",(X),(X),"40,592","+/-4,590",(X),(X),"22,639","+/-3,192",(X),(X)
Bachelor's degree,"38,933","+/-2,917",(X),(X),"50,264","+/-7,758",(X),(X),"34,942","+/-3,994",(X),(X)
Graduate or professional degree,"48,777","+/-12,945",(X),(X),"43,583","+/-24,541",(X),(X),"50,132","+/-5,856",(X),(X)
