MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"30,545",+/-831,(X),(X),"37,613","+/-2,123",(X),(X),"22,472","+/-1,514",(X),(X)
Less than high school graduate,"21,898","+/-4,019",(X),(X),"30,673","+/-2,990",(X),(X),"17,717","+/-7,857",(X),(X)
High school graduate (includes equivalency),"27,702","+/-2,236",(X),(X),"35,921","+/-2,244",(X),(X),"18,508","+/-2,237",(X),(X)
Some college or associate's degree,"29,762","+/-2,619",(X),(X),"39,545","+/-3,858",(X),(X),"22,174","+/-1,880",(X),(X)
Bachelor's degree,"38,119","+/-1,877",(X),(X),"50,228","+/-9,214",(X),(X),"35,168","+/-5,476",(X),(X)
Graduate or professional degree,"47,917","+/-14,728",(X),(X),"42,333","+/-25,667",(X),(X),"49,167","+/-6,111",(X),(X)
