MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"32,228","+/-1,129",(X),(X),"40,123","+/-2,017",(X),(X),"25,310","+/-1,883",(X),(X)
Less than high school graduate,"22,885","+/-6,530",(X),(X),"30,887","+/-10,415",(X),(X),"13,790","+/-6,912",(X),(X)
High school graduate (includes equivalency),"30,061","+/-1,825",(X),(X),"35,983","+/-2,456",(X),(X),"20,009","+/-2,115",(X),(X)
Some college or associate's degree,"31,742","+/-1,829",(X),(X),"42,447","+/-4,701",(X),(X),"24,356","+/-3,790",(X),(X)
Bachelor's degree,"41,439","+/-2,705",(X),(X),"54,219","+/-4,994",(X),(X),"35,461","+/-3,606",(X),(X)
Graduate or professional degree,"50,438","+/-12,200",(X),(X),"45,375","+/-19,004",(X),(X),"51,149","+/-9,762",(X),(X)
