MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"34,320","+/-2,418",(X),(X),"40,727","+/-1,295",(X),(X),"26,293","+/-1,804",(X),(X)
Less than high school graduate,"21,786","+/-7,062",(X),(X),"28,021","+/-4,901",(X),(X),"14,392","+/-4,677",(X),(X)
High school graduate (includes equivalency),"31,721","+/-1,587",(X),(X),"36,834","+/-2,080",(X),(X),"24,039","+/-3,010",(X),(X)
Some college or associate's degree,"31,620","+/-2,282",(X),(X),"40,743","+/-2,275",(X),(X),"24,210","+/-2,243",(X),(X)
Bachelor's degree,"48,885","+/-4,387",(X),(X),"58,750","+/-7,820",(X),(X),"40,611","+/-5,558",(X),(X)
Graduate or professional degree,"54,397","+/-14,128",(X),(X),"63,588","+/-13,066",(X),(X),"51,372","+/-4,110",(X),(X)
