MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"30,578","+/-1,100",(X),(X),"38,169","+/-2,256",(X),(X),"24,950","+/-1,656",(X),(X)
Less than high school graduate,"19,647","+/-3,492",(X),(X),"29,489","+/-11,221",(X),(X),"14,536","+/-3,645",(X),(X)
High school graduate (includes equivalency),"26,431",+/-741,(X),(X),"31,318","+/-1,294",(X),(X),"21,426","+/-1,320",(X),(X)
Some college or associate's degree,"30,838","+/-1,753",(X),(X),"41,620","+/-2,334",(X),(X),"25,283","+/-2,099",(X),(X)
Bachelor's degree,"44,757","+/-5,943",(X),(X),"55,833","+/-11,349",(X),(X),"41,030","+/-4,086",(X),(X)
Graduate or professional degree,"52,989","+/-13,222",(X),(X),"64,750","+/-22,521",(X),(X),"43,750","+/-10,577",(X),(X)
