MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 25 years and over with earnings,"30,157","+/-1,192",(X),(X),"38,163","+/-3,418",(X),(X),"24,492","+/-1,621",(X),(X)
Less than high school graduate,"17,747","+/-2,777",(X),(X),"21,809","+/-5,700",(X),(X),"15,062","+/-3,713",(X),(X)
High school graduate (includes equivalency),"26,377","+/-1,058",(X),(X),"30,920","+/-1,455",(X),(X),"21,873","+/-1,575",(X),(X)
Some college or associate's degree,"30,151","+/-2,485",(X),(X),"41,225","+/-1,836",(X),(X),"24,090","+/-3,086",(X),(X)
Bachelor's degree,"46,113","+/-5,626",(X),(X),"59,362","+/-21,461",(X),(X),"38,319","+/-7,163",(X),(X)
Graduate or professional degree,"59,286","+/-11,147",(X),(X),"64,167","+/-14,039",(X),(X),"44,762","+/-24,627",(X),(X)
